legacy_id	wp_initiator	wp_friend	legacy_date	conn_id	direction	status	created_at
539	303	92	2023-08-21 11:31:10	21302	same	pending	2026-07-27 22:31:40.198229+00
3209	197	505	2024-05-11 17:07:34	21022	same	pending	2026-07-01 15:10:48.556685+00
3210	197	688	2024-08-20 20:44:30	21002	same	pending	2026-07-01 15:10:23.145924+00
3235	197	195	2024-07-07 18:50:35	21049	same	pending	2026-07-01 15:11:20.520717+00
3261	197	865	2024-07-28 01:05:07	20984	same	pending	2026-07-01 15:10:04.117996+00
3284	197	216	2024-09-01 17:31:04	21048	same	pending	2026-07-01 15:11:19.518553+00
3346	197	626	2024-12-20 16:25:08	21004	same	pending	2026-07-01 15:10:27.058524+00
3359	197	855	2024-07-18 02:05:13	20987	same	pending	2026-07-01 15:10:07.392125+00
3385	197	742	2025-01-23 02:06:54	20993	same	pending	2026-07-01 15:10:14.505127+00
3393	197	676	2024-05-11 03:54:34	21000	same	pending	2026-07-01 15:10:21.315611+00
3409	197	374	2024-09-06 00:46:20	21033	same	pending	2026-07-01 15:11:02.298152+00
3418	197	670	2024-05-18 10:51:35	21006	same	pending	2026-07-01 15:10:29.112849+00
3486	197	96	2024-12-18 02:23:36	21055	same	pending	2026-07-01 15:11:26.626783+00
3537	197	224	2024-11-08 13:30:45	20944	same	pending	2026-07-01 14:01:01.847575+00
3547	197	242	2024-09-29 18:43:43	21047	same	pending	2026-07-01 15:11:18.6767+00
3565	197	295	2025-12-25 06:49:54	21041	same	pending	2026-07-01 15:11:10.919638+00
3570	197	287	2024-12-07 14:44:48	21040	same	pending	2026-07-01 15:11:10.171993+00
3600	197	325	2024-08-23 03:11:42	21037	same	pending	2026-07-01 15:11:05.886961+00
3607	197	351	2024-09-05 16:07:59	21036	same	pending	2026-07-01 15:11:04.479328+00
3618	197	376	2025-07-16 14:57:01	21034	same	pending	2026-07-01 15:11:03.116016+00
3666	197	760	2025-12-15 23:40:40	20992	same	pending	2026-07-01 15:10:13.462989+00
3725	197	675	2024-05-16 21:28:07	21003	same	pending	2026-07-01 15:10:23.904103+00
3809	197	560	2024-05-15 17:49:35	20942	same	pending	2026-07-01 14:00:59.32494+00
3836	197	529	2024-09-11 18:22:58	21015	same	pending	2026-07-01 15:10:41.684485+00
3876	197	471	2024-09-24 01:49:48	21021	same	pending	2026-07-01 15:10:47.592188+00
4202	197	898	2024-06-15 14:39:47	20979	same	pending	2026-07-01 15:09:55.765107+00
4817	197	954	2024-09-05 15:44:56	20981	same	pending	2026-07-01 15:09:57.599423+00
4818	197	953	2024-08-22 15:29:52	20982	same	pending	2026-07-01 15:09:59.33272+00
5220	1	1000	2025-06-30 16:15:32	21257	same	pending	2026-07-27 21:31:28.028672+00
7222	197	1000	2025-06-30 16:15:27	20857	same	pending	2026-07-01 13:54:40.157079+00
7342	197	1065	2024-10-09 22:04:34	20971	same	pending	2026-07-01 15:09:46.271033+00
8126	197	1199	2025-01-19 03:12:54	20965	same	pending	2026-07-01 15:09:39.301273+00
8127	197	1198	2025-04-06 23:32:55	20966	same	pending	2026-07-01 15:09:40.264199+00
9933	197	1407	2025-08-18 21:48:04	20954	same	pending	2026-07-01 15:09:22.051519+00
10310	1431	94	2025-08-06 15:03:57	21127	same	pending	2026-07-12 18:37:41.956677+00
10317	1431	8	2025-08-08 12:39:42	21124	same	pending	2026-07-12 18:36:53.863684+00
11689	1	1841	2026-04-30 17:36:11	21300	same	pending	2026-07-27 21:34:29.390715+00
11690	1	1844	2026-04-30 22:55:50	21298	same	pending	2026-07-27 21:34:27.345548+00
11694	1	1847	2026-05-10 00:29:53	21296	same	pending	2026-07-27 21:34:25.350065+00
11699	1	1851	2026-05-04 16:56:56	21293	same	pending	2026-07-27 21:34:22.320198+00
11704	1	1855	2026-05-06 21:13:51	21290	same	pending	2026-07-27 21:34:19.440374+00
11708	1	1857	2026-05-07 09:29:43	21288	same	pending	2026-07-27 21:34:17.345244+00
11709	1	1858	2026-05-07 12:34:04	21287	same	pending	2026-07-27 21:34:16.661839+00
11711	1	1860	2026-05-08 22:16:50	21285	same	pending	2026-07-27 21:34:13.149456+00
11712	1	1859	2026-05-08 01:11:43	21286	same	pending	2026-07-27 21:34:13.936613+00
11713	1	1861	2026-05-08 12:00:45	21284	same	pending	2026-07-27 21:34:12.359153+00
11714	1	1862	2026-05-08 12:11:57	21283	same	pending	2026-07-27 21:34:11.579758+00
11727	1	1865	2026-05-10 23:38:04	21280	same	pending	2026-07-27 21:34:03.942062+00
11734	197	1862	2026-05-11 02:04:02	20878	same	pending	2026-07-01 13:55:49.61481+00
11751	197	1841	2026-05-11 11:53:53	20903	same	pending	2026-07-01 13:57:40.418235+00
11753	197	1839	2026-05-11 02:09:17	20905	same	pending	2026-07-01 13:57:45.64172+00
11755	197	1836	2026-05-11 16:17:24	20908	same	pending	2026-07-01 13:57:52.746088+00
11756	197	1835	2026-05-11 14:01:15	20909	same	pending	2026-07-01 13:57:53.202431+00
11757	197	1834	2026-05-11 15:22:20	20910	same	pending	2026-07-01 13:57:53.921772+00
11759	197	1830	2026-05-11 05:07:44	20913	same	pending	2026-07-01 13:57:58.485324+00
