737	repair-and-restoration	Repair and Restoration		211
738	business	Business		46
739	new-builds	New Builds		145
740	tool-spaces-robots-and-widgets	Tools, Spaces, Robots and Widgets		97
746	acoustic-repair	Acoustic Repair	Repair and Restoration	138
747	electric-repair	Electric Repair	Repair and Restoration	75
748	electronics-repair	Electronics Repair	Repair and Restoration	29
749	finish-repair	Finish Repair	Repair and Restoration	40
750	folk-bluegrass-irish-old-time-repair	Folk, Bluegrass, Irish, Old Time Repair	Repair and Restoration	15
752	amps-pickups-and-pedal-builds	Amps, Pickups and Pedal Builds	New Builds	19
753	acoustic-builds	Acoustic Builds	New Builds	112
754	electric-builds	Electric Builds	New Builds	68
755	finishing-new-builds	Finishing New Builds	New Builds	24
756	design-and-testing	Design and Testing	New Builds	15
757	folk-irish-bluegrass-old-time-instrument-builds	Folk, Irish, Bluegrass, Old Time Instrument Builds	New Builds	20
758	customer-relations	Customer Relations	Business	21
759	job-postings	Job Postings	Business	0
760	resumes	Resumes	Business	0
761	paper-work-and-drudgery	Paper Work and Drudgery	Business	7
762	3d-printing	3D Printing	Tools, Spaces, Robots and Widgets	80
763	cad-cam	CAD/CAM	Tools, Spaces, Robots and Widgets	40
764	cnc	CNC	Tools, Spaces, Robots and Widgets	22
765	plek	PLEK	Tools, Spaces, Robots and Widgets	0
766	shop-orginization	Shop Organization	Tools, Spaces, Robots and Widgets	31
767	tools-jigs-and-fixtures	Tools, Jigs and Fixtures	Tools, Spaces, Robots and Widgets	85
932	vintage	Vintage		15
1185	amp-repair	Amp Repair	Repair and Restoration	10
1255	perspective	Perspective		13
1334	pickup-winding	Pickup Winding	New Builds	2
1355	machine-shop	Machine Shop	Tools, Spaces, Robots and Widgets	3
1402	lasers	Lasers	Tools, Spaces, Robots and Widgets	0
1416	violin-family-restoration	Violin Family Restoration	Repair and Restoration	12
1752	touring-tech	Touring Tech	Repair and Restoration	2
1946	marketing	Marketing	Business	9
2652	local-looths	Local Looths		0
2832	scanners	scanners	Tools, Spaces, Robots and Widgets	0
